analyte,feature_space,model,target_transform,outer_fold,feature_group,mean_absolute_shap,shap_share,permutation_mae_increase,permutation_mae_increase_std,permutation_share,shap_direction_rho,observed_concentration_rho,direction_aligned,shap_additivity_max_error
ketone,RGB_primary,RandomForest,raw,3,G,2.0536987595475966,0.690628092256331,2.2836331966374264,0.14189161850594023,0.722353256584789,-0.9292298513105591,-0.9761904761904763,True,5.364597654988756e-13
ketone,RGB_primary,RandomForest,raw,3,B,0.8146641416280103,0.2739593328118552,0.7181551448412699,0.08179547249949135,0.22716507553536683,0.8204817059107785,0.9047619047619048,True,5.364597654988756e-13
ketone,RGB_primary,RandomForest,raw,4,R,0.2066051966011618,0.07034819502001032,0.37414856469298247,0.031012829063160822,0.12078197458681575,-0.8724897504932182,-0.9761904761904763,True,4.938272013532696e-13
ketone,RGB_primary,RandomForest,raw,4,G,1.9171473435768878,0.6527805564755248,1.978066978923002,0.12694967952482175,0.6385560660251239,-0.8860538032169282,-0.9761904761904763,True,4.938272013532696e-13
ketone,RGB_primary,RandomForest,raw,4,B,0.8131415271451224,0.2768712485044648,0.7455030188840156,0.06632346452752173,0.2406619593880603,0.8316712862466925,0.9047619047619048,True,4.938272013532696e-13
ketone,RGB_primary,RandomForest,raw,5,R,0.10769256444236412,0.0365515324159675,0.22592671442495119,0.023649614980648388,0.06996239299306785,-0.9175183618203022,-0.9761904761904763,True,5.400124791776761e-13
ketone,RGB_primary,RandomForest,raw,5,G,2.014491750498387,0.6837311461688551,2.2238636871345028,0.1303364724558107,0.6886605934952421,-0.9425211831986983,-0.9761904761904763,True,5.400124791776761e-13
ketone,RGB_primary,RandomForest,raw,5,B,0.8241371475027421,0.27971732141517736,0.7794689870857702,0.046164443312703904,0.24137701351169003,0.7960108189803746,0.9047619047619048,True,5.400124791776761e-13
ketone,HSV_primary,RandomForest,raw,1,Hue,2.667656831013249,0.986060830108595,2.88927875,0.18656704784951453,0.9689487268965499,-0.9776198527002862,-1.0,True,1.6342482922482304e-13
ketone,HSV_primary,RandomForest,raw,1,Saturation,0.026361441164039334,0.00974412610155643,0.07132074999999996,0.010744246082406629,0.023918131787667447,0.2968957061732033,0.3333333333333334,True,1.6342482922482304e-13
ketone,HSV_primary,RandomForest,raw,1,Value,0.01134913473964544,0.004195043789848507,0.021270097222222183,0.005830153554200536,0.007133141315782711,-0.5007365358645094,-0.9761904761904763,True,1.6342482922482304e-13
ketone,HSV_primary,RandomForest,raw,2,Hue,2.685909865484542,0.9881020028975214,3.009060277777778,0.1563237706306302,0.9679642575307222,-0.9747380010098494,-1.0,True,4.884981308350689e-14
ketone,HSV_primary,RandomForest,raw,2,Saturation,0.016087893905059273,0.005918471201982851,0.06197232456140345,0.008868275787091678,0.019935458114462516,0.4479838484589108,0.3333333333333334,True,4.884981308350689e-14
ketone,HSV_primary,RandomForest,raw,2,Value,0.016253855937915406,0.005979525900495791,0.03761552631578956,0.0071708540478043654,0.012100284354815286,-0.34153358774068854,-0.9761904761904763,True,4.884981308350689e-14
ketone,HSV_primary,RandomForest,raw,3,Hue,2.6600324862201394,0.9951796521619495,2.9849282894736846,0.20898744769329455,0.9925161799643156,-0.9772258596856084,-1.0,True,5.595524044110789e-14
ketone,HSV_primary,RandomForest,raw,3,Saturation,0.009857170769817826,0.003687795479500926,0.02018662280701751,0.002501226001774049,0.0067122382220895175,-0.049817371746059505,0.3333333333333334,False,5.595524044110789e-14
ketone,HSV_primary,RandomForest,raw,3,Value,0.0030272183113294574,0.0011325523585495843,0.0023204824561403477,0.0006810880882358019,0.0007715818135948338,-0.14474343780612875,-0.9761904761904763,True,5.595524044110789e-14
ketone,HSV_primary,RandomForest,raw,4,Hue,2.6858929290284546,0.9836411264964591,3.030300935672514,0.16775548671439264,0.9720995614707048,-0.9762743794965308,-1.0,True,6.217248937900877e-14
ketone,HSV_primary,RandomForest,raw,4,Saturation,0.024596164541606912,0.00900773025451536,0.05589046783625731,0.009706949380945209,0.017929275153644293,0.8275077790697166,0.3333333333333334,True,6.217248937900877e-14
ketone,HSV_primary,RandomForest,raw,4,Value,0.02007275127175579,0.007351143249025592,0.031082850877192914,0.009377520568281845,0.009971163375650939,-0.6754525401419885,-0.9761904761904763,True,6.217248937900877e-14
ketone,HSV_primary,RandomForest,raw,5,Hue,2.735363518258039,0.9917771723887444,3.030437207602339,0.20096569209113085,0.9888659148451058,-0.9780241270497406,-1.0,True,5.773159728050814e-14
ketone,HSV_primary,RandomForest,raw,5,Saturation,0.019514786844199467,0.007075593421833242,0.03084459064327482,0.004073647379492264,0.010064938573209064,-0.23781685048486773,0.3333333333333334,False,5.773159728050814e-14
ketone,HSV_primary,RandomForest,raw,5,Value,0.0031641205666048176,0.0011472341894224116,0.003276461988304083,0.000624124431368151,0.00106914658168515,-0.2299086718418381,-0.9761904761904763,True,5.773159728050814e-14
