analyte,feature_space,model,outer_fold,patch_id,actual_concentration,prediction,feature_group,feature_value,shap_value,normalized_shap_percent
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wA12,2.5,5.3,R,134.0,0.09230667482531704,0.4615333741265852
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wC01,2.5,3.05,R,122.0,0.007057443173891957,0.035287215869459786
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wC03,2.5,2.7,R,120.0,-0.06399038182580015,-0.31995190912900073
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wC09,2.5,2.38,R,118.0,0.1437133804233189,0.7185669021165946
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wD02,2.5,3.5,R,109.0,-0.1425742485165433,-0.7128712425827165
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wD03,2.5,2.466666666666667,R,105.0,-0.34366281763769563,-1.7183140881884782
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wE02,2.5,2.493333333333333,R,99.0,-0.40820418664381325,-2.041020933219066
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wE03,2.5,2.5,R,99.0,-0.4245682762884594,-2.1228413814422966
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wE08,2.5,2.5202,R,89.0,-0.7975792871979782,-3.987896435989891
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wE10,2.5,2.3866666666666667,R,96.0,-0.5638277274096846,-2.8191386370484226
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wE11,2.5,2.5,R,100.0,-0.3772061377497166,-1.886030688748583
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wF01,2.5,2.39,R,113.0,-0.005778503122603614,-0.02889251561301807
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wF12,2.5,2.776666666666667,R,122.0,-0.028772218351823326,-0.14386109175911663
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wG06,2.5,2.7,R,105.0,-0.1965588920416388,-0.9827944602081938
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wG09,2.5,2.38,R,112.0,-0.0279903591525335,-0.1399517957626675
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wG11,2.5,2.1966666666666668,R,116.0,0.22310051275222245,1.1155025637611122
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wG12,2.5,2.3766666666666665,R,117.0,0.1506213332246337,0.7531066661231685
glucose,RGB_primary,ExtraTrees,1,glucose_07_c2.5_wH05,2.5,2.5,R,97.0,-0.5492507209700599,-2.7462536048502995
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wA06,5.0,5.4,R,100.0,-0.06708087123357266,-0.33540435616786335
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wA11,5.0,5.0,R,108.0,0.1146580063680612,0.573290031840306
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wA12,5.0,3.506666666666667,R,114.0,0.5893766051413604,2.9468830257068017
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wC01,5.0,5.383333333333334,R,109.0,0.23329459837410285,1.1664729918705143
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wC03,5.0,5.6,R,98.0,-0.18233942825216726,-0.9116971412608363
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wC09,5.0,5.0,R,97.0,-0.48064668509774966,-2.4032334254887484
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wD02,5.0,5.0,R,105.0,-0.16330116540824138,-0.816505827041207
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wD03,5.0,4.966666666666667,R,91.0,-0.4669119907313805,-2.3345599536569024
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wE02,5.0,5.0,R,86.0,-0.4795226899377567,-2.3976134496887833
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wE03,5.0,5.0,R,84.0,-0.4955289813329137,-2.477644906664568
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wE08,5.0,5.0,R,89.0,-0.47402337499354646,-2.3701168749677324
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wE10,5.0,4.786666666666667,R,89.0,-0.4777751060200258,-2.3888755301001288
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wE11,5.0,5.0,R,104.0,-0.13667576307996762,-0.6833788153998381
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wF01,5.0,5.0,R,104.0,-0.1515895692278035,-0.7579478461390174
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wF12,5.0,4.35,R,111.0,0.3121754692866259,1.5608773464331294
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wG06,5.0,5.0,R,85.0,-0.4590929192221187,-2.2954645961105937
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wG09,5.0,5.0,R,93.0,-0.4316569828732703,-2.1582849143663516
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wG11,5.0,4.983333333333333,R,104.0,-0.18248789502316654,-0.9124394751158327
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wG12,5.0,4.733333333333333,R,107.0,-0.015086504502573003,-0.07543252251286502
glucose,RGB_primary,ExtraTrees,1,glucose_08_c5_wH05,5.0,3.4166666666666665,R,88.0,-0.6436478183440826,-3.218239091720413
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wA06,10.0,15.266666666666667,R,118.0,1.5344989396324897,7.672494698162448
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wA11,10.0,10.0,R,127.0,0.3208471885442082,1.604235942721041
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wA12,10.0,10.0,R,130.0,-0.1798993946419321,-0.8994969732096605
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wC01,10.0,10.133333333333333,R,132.0,-0.35155769897963246,-1.7577884948981624
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wC03,10.0,10.0,R,127.0,-0.1487138587329551,-0.7435692936647754
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wC09,10.0,10.8,R,131.0,-0.35488617377355597,-1.7744308688677797
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wD02,10.0,13.866666666666667,R,116.0,2.103658301859863,10.518291509299315
