analyte,outer_fold,feature_set,model,feature_count,target_transform,inner_best_mae,mae,rmse,r2,normalized_mae
glucose,3,Hue_only,ExtraTrees,2,log1p,0.4996261334011587,0.6111233082552543,1.4747935195277224,0.9512575114455514,0.030556165412762716
glucose,4,G_only,Ridge,1,log1p,2.7848267465252885,2.7163417464912403,4.182675238478387,0.6079390861389347,0.13581708732456202
glucose,4,G_only,ElasticNet,1,log1p,2.785653808875343,2.7174353590597895,4.1846758167368625,0.6075639500966025,0.13587176795298947
glucose,4,G_only,SVR,1,log1p,2.4070559367072146,2.475049381591023,3.83201620700229,0.6709211798016321,0.12375246907955115
glucose,4,G_only,RandomForest,1,log1p,2.4868545525585506,2.393970714145807,3.8333216693194556,0.6706969254392412,0.11969853570729035
glucose,4,G_only,ExtraTrees,1,log1p,2.4580411827514657,2.4030987274028535,3.792906703648999,0.6776040498385918,0.12015493637014267
glucose,4,Hue_only,Ridge,2,log1p,1.217789854881532,1.203631722016587,2.1559762197342986,0.895832272492318,0.060181586100829354
glucose,4,Hue_only,ElasticNet,2,log1p,1.2191220467970907,1.205136557234057,2.158265531848273,0.8956109351244531,0.060256827861702854
glucose,4,Hue_only,SVR,2,log1p,0.5342438763961542,0.5510473933152621,1.2474683503291892,0.9651257939649516,0.027552369665763105
glucose,4,Hue_only,RandomForest,2,raw,0.5488884810002971,0.4935460115461418,1.1239008335031355,0.9716925177407221,0.02467730057730709
glucose,4,Hue_only,ExtraTrees,2,log1p,0.5498180326643393,0.49821246379973555,1.1162525258052816,0.9720764798419792,0.024910623189986776
glucose,5,G_only,Ridge,1,log1p,2.825164962917233,2.853101777960617,4.553055951335426,0.5354299247675771,0.14265508889803086
glucose,5,G_only,ElasticNet,1,log1p,2.8260975733080818,2.8546644477053684,4.555692460783036,0.5348917376525057,0.14273322238526842
glucose,5,G_only,SVR,1,log1p,2.3615669019885246,2.4609085688626244,4.148556386831106,0.614309224591116,0.12304542844313122
glucose,5,G_only,RandomForest,1,log1p,2.4077741393133745,2.596296391430804,4.357490568010451,0.5744817720843843,0.1298148195715402
glucose,5,G_only,ExtraTrees,1,log1p,2.411335807706549,2.5607620220999827,4.256002767092947,0.5940719518551938,0.12803810110499914
glucose,5,Hue_only,Ridge,2,log1p,1.206355909073705,1.2205003101617995,2.1478588352756742,0.8966151917785243,0.061025015508089975
