analyte,feature_set,model,evaluation_unit,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,spearman_rho_mean,spearman_rho_std,normalized_mae_mean,normalized_mae_std,normalized_rmse_mean,normalized_rmse_std,mean_absolute_log1p_error_mean,mean_absolute_log1p_error_std,unclipped_mae_mean,unclipped_mae_std,clipped_fraction_mean,clipped_fraction_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,inner_best_mae_mean,inner_best_mae_std
glucose,RGB_primary,ExtraTrees,concentration_median,0.19794632683735353,0.048491349860493554,0.34038849985852737,0.08792351388088564,0.9972648657308734,0.001452026229927735,0.9418181818181818,0.004979295977319601,0.009897316341867675,0.0024245674930246782,0.017019424992926368,0.004396175694044284,0.05975392743600296,0.008599085397076489,0.19794632683735353,0.048491349860493554,0.0,0.0,3.5614040600019505,0.09023277606024073,0.00952812000468839,0.0006015068631873828,0.5561065329788978,0.021624310820953438
glucose,RGB_primary,ExtraTrees,patch,0.5289809298126166,0.03386998339471472,1.1724214371931925,0.117284217139263,0.9689489875745917,0.005889950636305545,0.8914529317872038,0.004612122812370932,0.026449046490630828,0.0016934991697357355,0.058621071859659625,0.005864210856963148,0.11464145055858277,0.007529747747056508,0.5289809298126166,0.03386998339471472,0.0,0.0,3.5614040600019505,0.09023277606024073,0.00952812000468839,0.0006015068631873828,0.5561065329788978,0.021624310820953438
glucose,RGB_primary,RandomForest,concentration_median,0.2827996779523083,0.046507149483841825,0.4511581428560996,0.08656303479122286,0.9953042122343334,0.0017899389425300178,0.9381818181818182,0.011853095282186542,0.014139983897615416,0.0023253574741920907,0.022557907142804978,0.00432815173956114,0.0706757220936758,0.006783190615982241,0.2827996779523083,0.046507149483841825,0.0,0.0,5.692943900002865,0.12585312406021926,0.008749699997133575,0.0003867200504437317,0.672870524742588,0.034868576251357426
glucose,RGB_primary,RandomForest,patch,0.6308399249128323,0.06836167446208959,1.3527822777927851,0.154612483444224,0.9585603605549242,0.009966388044490987,0.8952803550025419,0.007749862668177418,0.03154199624564162,0.0034180837231044823,0.06763911388963925,0.007730624172211201,0.12812157426139134,0.009724211006109242,0.6308399249128323,0.06836167446208959,0.0,0.0,5.692943900002865,0.12585312406021926,0.008749699997133575,0.0003867200504437317,0.672870524742588,0.034868576251357426
glucose,RGB_primary,Ridge,concentration_median,1.3032504887308611,0.050989775194803216,2.309182107136175,0.09764606955147467,0.8803307877568821,0.009922259490810785,0.9200000000000002,0.0162623125636349,0.06516252443654307,0.0025494887597401613,0.11545910535680874,0.004882303477573737,0.16389443073023888,0.00704778623022561,1.303698973585799,0.051517154593695276,0.01818181818181818,0.040655781409087086,0.1507618600036949,0.03318465524608816,0.0013731799961533397,0.00011342943392717383,1.3905432476601818,0.011995689537185255
glucose,RGB_primary,Ridge,patch,1.3818358449339212,0.028943848023246035,2.4946368099553604,0.05163960477586915,0.8604889007501972,0.0057354150376694385,0.8904707741553899,0.004341595161663113,0.06909179224669605,0.0014471924011623019,0.12473184049776802,0.0025819802387934587,0.18886960282636864,0.004149250796107781,1.3899490751596189,0.025705162975354648,0.06995215311004785,0.012125198706460909,0.1507618600036949,0.03318465524608816,0.0013731799961533397,0.00011342943392717383,1.3905432476601818,0.011995689537185255
glucose,RGB_primary,SVR,concentration_median,0.40616661310763336,0.08403482627826488,0.6893619811246381,0.1686365115198413,0.9888403923796639,0.005093258372278174,0.930909090909091,0.02281800072365654,0.02030833065538167,0.0042017413139132445,0.03446809905623191,0.008431825575992067,0.08765839132749902,0.010736042651352858,0.4061775442010367,0.0840266830687869,0.01818181818181818,0.040655781409087086,2.067957700006082,0.12819783774313123,0.007377219997579232,0.0014107467668129053,0.7001692927557174,0.02339701376180289
glucose,RGB_primary,SVR,patch,0.662992191707634,0.05706959122121781,1.2938468168257575,0.103078956697423,0.9622939877763038,0.006196005076623509,0.903512619249884,0.00836847792100754,0.0331496095853817,0.0028534795610608895,0.06469234084128787,0.005153947834871151,0.12784038735062067,0.007135443646960972,0.6909891718324607,0.04935777812616442,0.0861244019138756,0.01758006992428118,2.067957700006082,0.12819783774313123,0.007377219997579232,0.0014107467668129053,0.7001692927557174,0.02339701376180289
ketone,Background_adjusted_secondary,ExtraTrees,concentration_median,0.011027260394510073,0.002075737544809728,0.015664890676039163,0.00306378647506217,0.9999779051357972,7.926724876799395e-06,0.9952380952380953,0.010647942749998961,0.0011027260394510072,0.00020757375448097275,0.0015664890676039163,0.00030637864750621705,0.009900434107589957,0.0015000707703840576,0.011027260394511228,0.002075737544811087,0.025,0.05590169943749474,2.9769091199996183,0.11682522240205648,0.00795595999516081,0.0004312724808289437,0.15025836232922304,0.008198558568922395
ketone,Background_adjusted_secondary,ExtraTrees,patch,0.14596249189736715,0.046948873325132326,0.5058462600338751,0.15004657530480522,0.9760710143342358,0.014260679820000208,0.9267710013229568,0.013936380153497158,0.014596249189736715,0.004694887332513232,0.05058462600338752,0.015004657530480523,0.04839090049141152,0.00857185755037192,0.145962491897368,0.04694887332513357,0.018421052631578946,0.04119072590131191,2.9769091199996183,0.11682522240205648,0.00795595999516081,0.0004312724808289437,0.15025836232922304,0.008198558568922395
