analyte,feature_set,model,outer_fold,target_transform,inner_best_mae,best_parameters
ketone,RGB_HSV_combined,ElasticNet,1,log1p,0.36719662441701567,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,SVR,1,raw,0.12306443232130886,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,RandomForest,1,raw,0.042304944444444464,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,ExtraTrees,1,log1p,0.0482519038345363,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Chromaticity_secondary,ExtraTrees,1,log1p,0.07597849953643543,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Background_adjusted_secondary,ExtraTrees,1,raw,0.16130029861111111,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Background_negative_control,ExtraTrees,1,log1p,0.9286474449079332,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,Ridge,2,log1p,0.7158136079073472,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ElasticNet,2,log1p,0.7177143862005145,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_primary,SVR,2,raw,0.1638949877203674,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_primary,RandomForest,2,raw,0.147964072337963,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_primary,ExtraTrees,2,raw,0.10201017708333333,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,HSV_primary,Ridge,2,log1p,0.47386561657908033,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
ketone,HSV_primary,ElasticNet,2,log1p,0.4653804395389284,"{""alpha"": 0.01, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
ketone,HSV_primary,SVR,2,raw,0.13163977479013803,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,HSV_primary,RandomForest,2,raw,0.04314669444444447,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,HSV_primary,ExtraTrees,2,log1p,0.048056777515085775,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,Ridge,2,log1p,0.36637716332986525,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,ElasticNet,2,log1p,0.3712670719419936,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,SVR,2,raw,0.14119750987953605,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,RandomForest,2,raw,0.04149893055555557,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,ExtraTrees,2,raw,0.05145922222222223,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Chromaticity_secondary,ExtraTrees,2,log1p,0.08551461075431308,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Background_adjusted_secondary,ExtraTrees,2,raw,0.15501236805555557,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Background_negative_control,ExtraTrees,2,log1p,0.9073703656692815,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,Ridge,3,log1p,0.7117159077813275,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ElasticNet,3,log1p,0.7137476278484363,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_primary,SVR,3,raw,0.15211450291406614,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_primary,RandomForest,3,log1p,0.1280479093307472,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ExtraTrees,3,log1p,0.086151283216223,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,HSV_primary,Ridge,3,log1p,0.45880424193914615,"{""alpha"": 1.0, ""target_transform"": ""log1p""}"
ketone,HSV_primary,ElasticNet,3,log1p,0.45339889399443356,"{""alpha"": 0.01, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
ketone,HSV_primary,SVR,3,raw,0.11404435905920632,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,HSV_primary,RandomForest,3,raw,0.03744561805555556,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,HSV_primary,ExtraTrees,3,raw,0.043035090277777785,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,Ridge,3,log1p,0.35391655809680433,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,ElasticNet,3,log1p,0.3587372827375093,"{""alpha"": 0.001, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,SVR,3,raw,0.12068349898803934,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,RandomForest,3,raw,0.03794419444444445,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,ExtraTrees,3,raw,0.04394650000000001,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Chromaticity_secondary,ExtraTrees,3,raw,0.06620465277777778,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Background_adjusted_secondary,ExtraTrees,3,raw,0.14493426041666668,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Background_negative_control,ExtraTrees,3,raw,0.8999595081018519,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_primary,Ridge,4,log1p,0.7195148688697797,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ElasticNet,4,log1p,0.7213810600215366,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_primary,SVR,4,raw,0.16170043163866135,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_primary,RandomForest,4,raw,0.13659825347222224,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_primary,ExtraTrees,4,raw,0.08516369444444445,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
