analyte,outer_fold,architecture,representation,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,lite,rgb,raw,1,38,0.04935803016026815,0.8131928308340753,0.001
glucose,1,lite,rgb,raw,1,39,0.0414230789989233,0.676105839075266,0.0005
glucose,1,lite,rgb,raw,1,40,0.04899805323644118,0.5936573912917715,0.0005
glucose,1,lite,rgb,raw,1,41,0.04323524286349614,0.6313620163583183,0.0005
glucose,1,lite,rgb,raw,1,42,0.04855926305507169,0.6054908908285905,0.0005
glucose,1,lite,rgb,raw,1,43,0.0374378365323399,0.669861231780512,0.0005
glucose,1,lite,rgb,raw,1,44,0.0366674057913549,0.6014043487483804,0.0005
glucose,1,lite,rgb,raw,1,45,0.04343672354112972,0.5772754129540905,0.0005
glucose,1,lite,rgb,raw,1,46,0.0341997594770157,0.6462178610082063,0.0005
glucose,1,lite,rgb,raw,1,47,0.046496838602152736,0.6966141383270904,0.0005
glucose,1,lite,rgb,raw,1,48,0.03898023436918403,0.6693731180810494,0.0005
glucose,1,lite,rgb,raw,1,49,0.038032194926883235,0.6238903633069603,0.0005
glucose,1,lite,rgb,raw,1,50,0.036040572867248995,0.6380255191092274,0.0005
glucose,1,lite,rgb,raw,1,51,0.04019641731724594,0.6354821049656448,0.0005
glucose,1,lite,rgb,raw,1,52,0.036980159490397485,0.6382743874222002,0.0005
glucose,1,lite,rgb,raw,1,53,0.050406301111885994,0.58796830360319,0.00025
glucose,1,lite,rgb,raw,1,54,0.03796815133907578,0.654522683178188,0.00025
glucose,1,lite,rgb,raw,1,55,0.0434876744945844,0.660223565680328,0.00025
glucose,1,lite,rgb,raw,1,56,0.039678122012904195,0.5857840793914747,0.00025
glucose,1,lite,rgb,raw,1,57,0.0370887094374859,0.638976977869564,0.00025
glucose,1,lite,rgb,raw,1,58,0.03597767637534575,0.5714145519326386,0.00025
glucose,1,lite,rgb,raw,1,59,0.03807676303567308,0.5583041667843746,0.00025
glucose,1,lite,rgb,raw,1,60,0.03875771248430917,0.5996176777360739,0.00025
glucose,1,lite,rgb,raw,1,61,0.033024664945674666,0.6047206239702315,0.00025
glucose,1,lite,rgb,raw,1,62,0.036293249374086206,0.6292713760736615,0.00025
glucose,1,lite,rgb,raw,1,63,0.042059415578842164,0.5693887253005225,0.00025
glucose,1,lite,rgb,raw,1,64,0.03244741662885203,0.629541563987831,0.00025
